id,name,popTotal,pop15,married15,wds15,never15,pop25,married25, wds25,never25,pop35,married35,wds35,never35,pop60,married60,w60,divorced60,never60
1,Alabama,3514199,626799,16.2,2.7,81.1,599226,59.6,13.3,27.1,1517725,69.4,21.2,9.4,770449,57.3,29.9,9.3,3.4
2,Alaska,468861,89305,14.6,2.2,83.2,89209,57,10.9,32.1,238230,67.6,20.6,11.8,52117,59.1,21.6,15.1,4.2
4,Arizona,3979336,723152,16,2,82,739977,56.4,11,32.5,1646142,66.9,22.2,10.9,870065,63.6,23,10.6,2.8
5,Arkansas,2111663,380463,20.1,3.4,76.5,348762,63.2,14.8,21.9,890789,71,21.5,7.5,491649,61.1,27.6,8.8,2.6
6,California,26076163,4777263,13.6,1.7,84.8,5168768,52.8,8.6,38.6,11400932,66.3,19.8,13.9,4729200,57.5,25.3,12.6,4.6
8,Colorodo,3385369,608737,15.1,1.9,82.9,664455,56.1,9.9,34.1,1553259,69.4,20.1,10.5,558918,61.2,23.7,11.9,3.2
9,Connecticut,2696250,400633,10.9,1.3,87.8,448837,51.5,8.2,40.3,1245883,69.4,17.6,13,600897,57.3,27.2,9.3,6.2
10,Delaware,620661,106003,11.6,1.6,86.8,107935,54.4,9.9,35.7,272970,67.7,20.3,12,133753,59.4,27.1,9.3,4.3
12,Florida,12946990,1922345,12.6,2.3,85.1,2063668,52.4,12.9,34.6,5420170,65.2,23.5,11.3,3540807,61.4,25,10.4,3.2
13,Georgia,6366625,1180660,15.6,2.6,81.8,1289695,55.7,11.1,33.1,2822676,68,21.1,10.9,1073594,57.2,28.9,10.3,3.6
15,Hawaii,965875,163398,11.5,1.2,87.3,168085,50.6,7.6,41.8,427003,66.2,18.1,15.7,207389,60.9,23.6,9.4,6.1
16,Idaho,991624,204119,19.1,2.3,78.6,168703,66.4,12.4,21.2,425094,74.8,19,6.2,193708,65.1,23.4,9.5,2
17,Illinios,9707837,1734166,11.9,1.6,86.6,1798840,54.4,8.8,36.8,4212162,69,18.3,12.7,1962669,56.9,28.3,9.5,5.3
18,Indiana,4771040,877762,14,2,83.9,826867,59.7,12.5,27.8,2078643,71.2,19.8,9,987768,59.8,27.8,9.1,3.2
